Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
1,"C3",0.1uF,C0603,CC0603JRX7R7BB104,Yageo,DK,311-1776-1-ND,CAP CER 0.1UF 16V X7R 0603,REF12
1,"C2",1.0UF,0603-CAP,0603YD105KAT2A,AVX,DK,478-1249-1-ND,1µF ±10% 16V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0603 (1608 Metric),REF52
2,"R1, R3",10k,R0603,ERJ-3EKF1002V,Panasonic,DK,P10.0KHCT-ND,RES SMD 10K OHM 1% 1/10W 0603,REF54
1,"C4",100UF,EIA7343,TAJD107K020RNJ,AVX,DK,478-1724-1-ND,CAP TANT 100UF 20V 10% 2917,REF53
1,"R2",220,R0603,ERJ-3GEYJ221V,Panasonic,DK,P220GCT-ND,RES SMD 220 OHM 5% 1/10W 0603,REF55
1,"C1",1000uF,CPOL-8MMX20MM-FLAT-MIR,EEU-FR1C102L,Panasonic Electronic Components,DK,P14397-ND,CAP ALUM 1000UF 20% 16V RADIAL,REF51
1,"U2",APDS-9960,APDS-9960,APDS-9960,Broadcom,AR,apds-9960/broadcom-limited,Light to Digital Ambient Light Sensor 8-Pin,REF57
2,"HEADER1, HEADER2",BOM-ENTRY,*,PPTC181LFBN-RC,Sullins Connector Solutions,DK,S7016-ND,CONN HEADER FEMALE 18POS.1"" TIN,REF23
1,"R4(DNP), U3",ELECTRON_WITH_EXTERNAL_HEADERS_NT,ELECTRON_EXTERNAL_NT,***PART# '*' NOT FOUND***,*,*,*,*,*
1,"U4",NL17SZ125SOT553,SOT-553,NL17SZ125DTT1G,ON Semiconductor,DK,NL17SZ125DTT1GOSCT-ND,IC BUFFER NONINV 3ST 5TSOP,REF56
2,"JP2, JP1",PRT-08235,SCREWTERMINAL-3.5MM-3,***PART# '*' NOT FOUND***,*,*,*,*,*
1,"U1",USD-SOCKETMOLEX-CORRECT,MICRO-SD-MOLEX-CORRECT,1040310811,Molex,DK,WM6357CT-ND,CONN MICRO SD CARD PUSH-PULL R/A,REF24
